Proto,Port,Program
tcp,33804,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,33836,/var/vcap/bosh/bin/bosh-agent
tcp,33870,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,33984,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,33998,/var/vcap/data/packages/udp-forwarder/<GUID>/udp-forwarder
tcp,34014,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,34027,/var/vcap/data/packages/statsd_injector/<GUID>/statsd-injector
tcp,34030,/var/vcap/data/packages/auctioneer/<GUID>/bin/auctioneer
tcp,34038,/var/vcap/data/packages/file_server/<GUID>/bin/file-server
tcp,34050,/var/vcap/data/packages/ssh_proxy/<GUID>/bin/ssh-proxy
tcp,34090,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,34173,/var/vcap/data/packages/statsd_injector/<GUID>/statsd-injector
tcp,34206,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,34276,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,34312,/var/vcap/bosh/bin/bosh-agent
tcp,34406,/var/vcap/data/packages/uaa/<GUID>/jdk/bin/java
tcp,34414,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,34470,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,34502,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,34506,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,34508,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,34528,/var/vcap/data/packages/openjdk_1.8.0/<GUID>/jre/bin/java
tcp,34532,/var/vcap/data/packages/openjdk_1.8.0/<GUID>/jre/bin/java
tcp,34544,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,34546,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,3458,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,3459,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,34594,/var/vcap/bosh/bin/bosh-agent
tcp,3460,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,34702,/var/vcap/bosh/bin/bosh-agent
tcp,34702,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,34704,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,34758,/var/vcap/bosh/bin/bosh-agent
tcp,34788,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,34820,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,34870,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,34876,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,34892,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,34896,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,34928,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,34936,/var/vcap/data/packages/udp-forwarder/<GUID>/udp-forwarder
tcp,34944,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,35016,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
